x,y,Temperature
-4.000000000000000222e-01,-2.999999999999999889e-01,1.868743707843300461e+00
4.000000000000000222e-01,-2.999999999999999889e-01,2.023304453421750111e+02
4.000000000000000222e-01,2.999999999999999889e-01,3.000000000000000000e+01
-4.000000000000000222e-01,2.999999999999999889e-01,3.000000000000000000e+01
-2.000000000000000111e-01,-1.000000000000000056e-01,1.000000000000000000e+02
2.000000000000000111e-01,-1.000000000000000056e-01,1.000000000000000000e+02
2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000000e+02
-2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000000e+02
-4.000000000000000222e-01,0.000000000000000000e+00,4.916710606290093377e-01
4.000000000000000222e-01,0.000000000000000000e+00,1.641567869248602278e+02
-2.000000000000000111e-01,0.000000000000000000e+00,1.000000000000000000e+02
-4.000000000000000222e-01,1.499999999999999944e-01,1.436408112643492163e-01
-4.000000000000000222e-01,-1.499999999999999944e-01,1.312989771161770625e+00
-3.062500000000000222e-01,6.249999999999999306e-02,2.290002413818437721e-01
-3.000000000000000444e-01,-5.000000000000000278e-02,5.381463743072109063e-01
-4.000000000000000222e-01,-7.499999999999999722e-02,8.272328464315417129e-01
-2.000000000000000111e-01,-2.999999999999999889e-01,3.509057966252911775e+00
0.000000000000000000e+00,2.999999999999999889e-01,3.000000000000000000e+01
-4.000000000000000222e-01,7.499999999999999722e-02,2.762203415677290108e-01
0.000000000000000000e+00,-2.999999999999999889e-01,1.496075512793918882e+01
-3.345114575137687063e-01,1.261930812352478337e-01,1.542212396798758045e-01
-2.916666666666666852e-01,-1.583333333333333537e-01,1.396319055340603743e+00
-3.000000000000000444e-01,-2.999999999999999889e-01,2.142874363328499676e+00
-2.500000000000000000e-01,-2.318627450980392246e-01,2.309173846548899789e+00
-3.500000000000000333e-01,-2.259803921568627472e-01,1.713026213143071796e+00
-2.000000000000000111e-01,2.999999999999999889e-01,3.000000000000000000e+01
-2.503332344705248569e-01,2.000000000000000111e-01,5.707156509992459409e-02
-2.638622740220414320e-01,1.305232243396009517e-01,9.039575208300754117e-02
-3.000000000000000444e-01,2.999999999999999889e-01,3.000000000000000000e+01
-3.500000000000000333e-01,2.249999999999999778e-01,6.444108116031517508e-02
2.000000000000000111e-01,0.000000000000000000e+00,1.000000000000000000e+02
4.000000000000000222e-01,-1.499999999999999944e-01,1.881770099068139359e+02
4.000000000000000222e-01,1.499999999999999944e-01,1.316305709917207878e+02
3.062500000000000222e-01,-6.249999999999999306e-02,9.574947242998953811e+01
3.000000000000000444e-01,5.000000000000000278e-02,7.600531509866470969e+01
4.000000000000000222e-01,7.499999999999999722e-02,1.501616758600504511e+02
2.000000000000000111e-01,2.999999999999999889e-01,3.000000000000000000e+01
2.000000000000000111e-01,-2.999999999999999889e-01,6.636740925485646869e+01
4.000000000000000222e-01,-7.499999999999999722e-02,1.760304384878688779e+02
3.345114575137687063e-01,-1.261930812352478337e-01,1.295529643482880715e+02
2.916666666666666852e-01,1.583333333333333537e-01,5.107101855866543616e+01
3.000000000000000444e-01,2.999999999999999889e-01,3.000000000000000000e+01
2.500000000000000000e-01,2.318627450980392246e-01,1.683699826883680473e+01
3.500000000000000333e-01,2.259803921568627472e-01,4.782433917229561615e+01
2.503332344705248569e-01,-2.000000000000000111e-01,8.273490077547205601e+01
2.638622740220414320e-01,-1.305232243396009517e-01,7.089230113387320387e+01
3.000000000000000444e-01,-2.999999999999999889e-01,1.250650810202535865e+02
3.500000000000000333e-01,-2.249999999999999778e-01,1.567750470511289222e+02
-1.000000000000000056e-01,-2.999999999999999889e-01,6.986130149242370635e+00
0.000000000000000000e+00,-1.000000000000000056e-01,1.000000000000000000e+02
-5.000000000000000278e-02,-2.000000000000000111e-01,7.015703794640048230e+00
-1.507183227558334115e-01,-2.114225158662498827e-01,3.745956102614987238e+00
-2.107137868614077092e-01,-1.713484496498984821e-01,1.854022553468629653e+00
-1.000000000000000056e-01,-1.000000000000000056e-01,1.000000000000000000e+02
0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02
-1.751666172352624173e-01,2.248333827647375771e-01,4.339509259731292451e-02
-1.000000000000000056e-01,2.999999999999999889e-01,3.000000000000000000e+01
-5.000000000000000278e-02,2.000000000000000111e-01,2.720369890871269236e-01
-1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+02
-1.500000000000000222e-01,1.549401601228911629e-01,4.895331484892439383e-02
1.000000000000000056e-01,2.999999999999999889e-01,3.000000000000000000e+01
2.499999999999999792e-02,2.250000000000000056e-01,8.004874582676108075e-01
1.333333333333333315e-01,1.916666666666666519e-01,4.794951980255080848e+00
6.201690821256038155e-02,1.525966183574879176e-01,1.437177747472036415e+00
2.048218584929390185e-01,1.735825637524404941e-01,1.303653554809160120e+01
1.000000000000000056e-01,-1.000000000000000056e-01,1.000000000000000000e+02
1.751666172352624173e-01,-2.248333827647375771e-01,4.864386896913396896e+01
2.499999999999998751e-02,-1.749999999999999889e-01,9.437362524660230179e+00
1.000000000000000056e-01,-2.999999999999999889e-01,3.317655856845884443e+01
4.999999999999999584e-02,-2.449999999999999956e-01,2.002107434740324976e+01
1.500000000000000222e-01,-1.549401601228911629e-01,2.055004817001935535e+01
